order_id,person_id,delivery_id,location_id,driver_id,restaurant_id,total_price,delivery_charge
1,1,1,1,1,1,15.63,6.63
2,2,2,2,2,2,18.03,9.43
3,3,3,3,3,3,11.91,7.42
4,4,4,4,4,4,19.13,6.26
5,5,5,5,5,5,13.76,6.24
6,6,6,6,6,6,5.4,4.83
7,7,7,7,7,7,14.05,8.57
8,8,8,8,8,8,3.81,2.38
9,9,9,9,1,9,17.1,6.72
10,10,10,10,2,10,12.71,1.82
11,11,11,11,3,11,3.9,7.26
12,12,12,12,4,12,6.82,7.4
13,13,13,13,5,13,4.73,7.43
14,14,14,14,6,14,12.08,1.21
15,15,15,15,7,15,3.83,4.77
16,16,16,16,8,16,12.43,2.76
17,17,17,17,1,17,6.61,4.85
18,18,18,18,2,18,7.89,5.69
19,19,19,19,3,19,16.54,4.88
20,20,20,20,4,20,3.21,4.98
21,21,21,21,5,21,5.19,4.17
22,22,22,22,6,22,19,1.39
23,23,23,23,7,23,14.5,3.28
24,24,24,24,8,24,11.81,2.71
25,25,25,25,1,25,6.83,4.85
26,26,26,26,2,26,7.24,5.65
27,27,27,27,3,27,10.56,1.73
28,28,28,28,4,28,4.25,4.98
29,29,29,29,5,29,6.68,8.66
30,30,30,30,6,30,14.5,6.47
31,31,31,31,7,31,14.92,9.53
32,32,32,32,8,32,4.12,9.42
33,33,33,33,1,33,7.02,7.99
34,34,34,34,2,34,8.6,6.69
35,35,35,35,3,35,8.98,4.72
36,36,36,36,4,36,7.94,4.78
37,37,37,37,5,37,14.8,2.13
38,38,38,38,6,38,19.05,6.61
39,39,39,39,7,39,12.49,5.97
40,40,40,40,8,40,15.56,6.01
41,41,41,41,1,41,8.85,7.06
42,42,42,42,2,42,12.28,5.52
43,43,43,43,3,43,9.28,9.63
44,44,44,44,4,44,9.78,8
45,45,45,45,5,45,12.43,5.11
46,46,46,46,6,46,4.11,9.65
47,47,47,47,7,47,14.29,6.65
48,48,48,48,8,48,5.69,3.31
49,49,49,49,1,49,12.52,6.38
50,50,50,50,2,50,8.84,9.92
51,51,51,51,3,51,5.69,1.5
52,52,52,52,4,52,14.53,4.58
53,53,53,53,5,53,10.23,3.61
54,54,54,54,6,54,10.7,7.36
55,55,55,55,7,55,14.03,8.66
56,56,56,56,8,56,13.46,1.26
57,57,57,57,1,57,13.98,8.85
58,58,58,58,2,58,15.21,6.59
59,59,59,59,3,59,4.6,8.25
60,60,60,60,4,60,3.27,6.39
61,61,61,61,5,61,9.39,2.63
62,62,62,62,6,62,3.7,2.47
63,63,63,63,7,63,18.49,7.01
64,64,64,64,8,64,15.51,8.26
65,65,65,65,1,65,6.8,9.41
66,66,66,66,2,66,12.57,1.88
67,67,67,67,3,67,8.69,6.21
68,68,68,68,4,68,9.38,9.56
69,69,69,69,5,69,18.23,3.89
70,70,70,70,6,70,13.39,9.65
71,71,71,71,7,71,17.71,3.01
72,72,72,72,8,72,10.59,2.03
73,73,73,73,1,73,6.99,9.8
74,74,74,74,2,74,14.14,3.98
75,75,75,75,3,75,16.73,7.27
76,76,76,76,4,76,6.64,5.09
77,77,77,77,5,77,16.48,1.15
78,78,78,78,6,78,18.61,6.49
79,79,79,79,7,79,18.66,8.19
80,80,80,80,8,80,7.6,9.54
81,81,81,81,1,81,16.72,4.05
82,82,82,82,2,82,5.64,7.18
83,83,83,83,3,83,7.39,9.14
84,84,84,84,4,84,11.61,1.57
85,85,85,85,5,85,16.74,8.84
86,86,86,86,6,86,19.88,2.43
87,87,87,87,7,87,7.52,4.32
88,88,88,88,8,88,14.63,4.4
89,89,89,89,1,89,19.45,9.89
90,90,90,90,2,90,12.5,8.23
91,91,91,91,3,91,10.34,3.69
92,92,92,92,4,92,11.34,6.34
93,93,93,93,5,93,15.05,8.26
94,94,94,94,6,94,7.89,7.05
95,95,95,95,7,95,16.69,9.19
96,96,96,96,8,96,5.71,8.39
97,97,97,97,1,97,16.9,9.15
98,98,98,98,2,98,15.63,8.92
99,99,99,99,3,99,3.71,2.53
100,100,100,100,4,100,5.08,2.74
101,1,2,3,4,5,6,1
202,23,52,33,2,86,38.641,5.178
203,29,35,96,1,14,34.96,4.658
204,75,21,41,1,41,35.705,4.727
205,96,18,42,6,20,35.48,5.314
206,4,97,27,5,88,38.684,5.128
207,72,47,23,4,100,40.987,4.955
208,56,44,85,6,61,41.993,5.119
209,76,40,33,6,38,44.791,4.811
210,34,84,22,6,90,38.123,4.97
211,31,17,47,6,16,36.234,4.508
212,23,52,33,2,86,38.641,5.178
213,29,35,96,1,14,34.96,4.658
214,75,21,41,1,41,35.705,4.727
215,96,18,42,6,20,35.48,5.314
216,4,97,27,5,88,38.684,5.128
217,72,47,23,4,100,40.987,4.955
218,56,44,85,6,61,41.993,5.119
219,76,40,33,6,38,44.791,4.811
220,34,84,22,6,90,38.123,4.97
221,31,17,47,6,16,36.234,4.508
222,77,39,65,2,64,40.273,4.965
223,14,67,50,1,78,36.914,4.931
224,4,60,94,8,21,43.202,5.165
225,36,82,81,3,34,30.118,5.004
226,94,43,92,8,33,36.845,5.031
227,51,66,27,3,2,39.878,4.843
228,100,59,63,8,35,44.299,4.587
229,25,27,57,4,20,40.981,5.178
230,84,64,19,4,99,42.382,5.655
231,69,82,80,5,74,39.093,5.291
232,16,91,38,2,19,42.303,4.53
233,20,100,13,7,57,46.933,4.598
234,69,10,48,8,12,36.006,4.559
235,9,31,88,4,76,41.564,4.476
236,6,76,92,3,23,33.242,4.878
237,21,9,4,5,1,36.628,5.408
238,78,82,50,2,54,32.782,4.994
239,64,65,11,4,19,45.666,5.157
240,70,23,74,5,42,38.403,5.242
241,19,42,35,1,52,39.186,5.47
242,85,11,97,6,54,42.218,5.008
243,63,51,62,2,72,37.341,4.882
244,51,51,5,2,18,32.788,4.827
245,99,43,93,1,12,36.27,5.252
246,43,100,77,7,78,40.062,5.322
247,4,30,100,5,53,43.382,4.87
248,34,36,40,8,58,40.403,5.101
249,10,87,57,1,5,41.105,4.648
250,72,59,67,4,100,38.888,5.088
251,3,51,6,7,62,33.602,5.147
252,65,87,44,2,80,37.829,4.907
253,54,4,17,2,9,49.821,4.781
254,6,13,50,5,15,44.145,5.435
255,99,98,42,2,75,42.413,4.768
256,36,31,80,2,99,43.611,4.751
257,91,73,24,2,23,34.007,5.443
258,60,56,20,7,91,35.676,5.292
259,95,37,17,1,99,32.371,4.951
260,100,8,89,6,18,40.565,4.874
261,30,39,74,8,6,39.563,5.578
262,53,75,48,5,51,38.274,4.622
263,100,73,28,3,79,42.237,5.071
264,87,96,75,2,27,39.137,4.751
265,64,79,7,4,28,39.787,5.031
266,91,59,96,7,43,41.362,4.942
267,38,67,42,1,39,45.522,4.882
268,43,31,22,1,45,38.339,5.124
269,9,26,45,4,48,41.045,4.887
270,43,92,17,4,91,42.978,5.011
271,60,74,46,2,81,41.112,4.793
272,8,69,20,3,67,35.685,4.883
273,12,38,58,3,4,40.581,4.949
274,43,40,21,7,37,47.151,4.621
275,95,28,34,7,78,42.253,4.749
276,80,90,88,6,46,45.622,5.176
277,67,81,11,3,45,48.641,4.649
278,11,59,76,8,97,38.378,5.348
279,37,83,61,3,9,43.062,5.311
280,41,81,69,8,19,41.711,4.839
281,59,66,27,8,53,42.674,5.03
282,100,60,52,2,35,42.219,4.381
283,22,47,18,6,17,46.355,5.399
284,9,74,48,8,70,41.843,4.829
285,41,25,86,3,54,37.059,5.15
286,25,49,100,4,34,41.985,4.754
287,57,23,39,7,32,42.288,4.903
288,42,100,94,3,95,35.962,5.23
289,58,22,43,1,84,37.387,4.757
290,98,12,88,5,40,38.472,5.23
291,17,58,99,2,23,40.421,5.215
292,57,40,62,6,17,34.228,5.28
293,3,13,45,5,24,41.558,5.429
294,26,26,100,4,88,43.95,4.902
295,1,21,28,4,72,38.121,5.221
296,79,91,76,1,15,42.209,5.154
297,54,11,17,4,89,38.844,4.991
298,13,18,31,5,51,46.591,4.994
299,74,47,62,5,47,39.407,5.103
300,71,7,24,3,24,43.795,4.971
301,98,51,41,2,78,42.907,5.262
302,35,4,34,1,57,38.363,5.282
303,89,77,76,5,43,40.069,4.743
304,32,61,66,2,62,43.626,4.905
305,44,97,2,6,53,42.273,4.939
306,78,79,44,4,42,34.725,5.355
307,71,94,31,4,57,34.295,5.293
308,46,54,47,6,98,41.851,5.212
309,62,76,6,7,41,36.815,5.077
310,31,30,76,1,3,42.293,5.087
311,95,44,81,6,24,48.25,4.981
